x,y,Temperature
1.750000000000000167e-01,5.999999999999999778e-01,3.000000000000000000e+01
1.873058166584027351e-01,5.743427938179515024e-01,3.887356478035687246e+01
1.720981872367578491e-01,5.740574466963095368e-01,3.749417983752747574e+01
1.798083104899981521e-01,5.533949617607680782e-01,4.297037897409362017e+01
1.647594869644959381e-01,5.490684267205577784e-01,4.308252603366322120e+01
1.810489040800132010e-01,5.377476780636890608e-01,4.733693919816412432e+01
1.901371565428455757e-01,4.957129085772963295e-01,5.553201287087733817e+01
1.907672210075435359e-01,5.178489946220984352e-01,4.842292783313586568e+01
1.125000000000000028e-01,5.880023928745853334e-01,3.197014529326926890e+01
1.285776404981370524e-01,5.837620291648047965e-01,3.258288671186085139e+01
1.875000000000000000e-01,5.902156155920517122e-01,3.271090934498884906e+01
1.687360052030355273e-01,5.073990642845678245e-01,5.127964879509202234e+01
3.000000000000000444e-01,4.000000000000000222e-01,1.000000000000000000e+02
1.761120305023704813e-01,5.202972317784493317e-01,4.811333640848315696e+01
1.569293381931606557e-01,5.185864552844478004e-01,4.693444271613310548e+01
1.593565912856537425e-01,4.647829956524556771e-01,5.766524588045679423e+01
2.214781321019433646e-01,5.208314703874704632e-01,5.405583952676840909e+01
1.702467249365718915e-01,4.847263717473880851e-01,5.609363793851335345e+01
2.055493562006543151e-01,5.252437810356624937e-01,4.879537578011168364e+01
2.084949049969800905e-01,5.049192359271762465e-01,5.607426309405600051e+01
2.348165963361135700e-01,4.783378906025337329e-01,6.594823828305378299e+01
2.143479414288912421e-01,4.286795778453508787e-01,7.804844049791920213e+01
2.112891135382378160e-01,4.764413138031670658e-01,6.352687844190048594e+01
2.044177074860408228e-01,4.901431450588300542e-01,5.804975436043673653e+01
1.517284863089598534e-01,4.948791474530897516e-01,5.160654469934298305e+01
1.311422320840930633e-01,4.955781993814901698e-01,5.081682004870556568e+01
1.120601113836558888e-01,4.818333225772388761e-01,5.084802342371578021e+01
1.407854896424633184e-01,4.760907820684205372e-01,5.311016904160891272e+01
1.269000395703998030e-01,4.813493010363429359e-01,5.108726409789935730e+01
1.257252062618113841e-01,4.572851181853906377e-01,5.697329198090886848e+01
1.430246195021852851e-01,4.588643498072683680e-01,5.871276658983329355e+01
1.581296168420607273e-01,4.426760936821380610e-01,6.310986745050140456e+01
2.357087335560061336e-01,5.144126005651004085e-01,5.819360372222095634e+01
2.318322606950906917e-01,5.341241207378436551e-01,5.010892516106007832e+01
3.000000000000000444e-01,5.999999999999999778e-01,3.000000000000000000e+01
2.171728365715688558e-01,5.424309743315585131e-01,4.685361848615387004e+01
2.039007683180380781e-01,5.599418663110635741e-01,4.173099840868765398e+01
2.500000000000000000e-01,5.999999999999999778e-01,3.000000000000000000e+01
2.467888036098442872e-01,5.418832673597242522e-01,4.982199414865937115e+01
2.071775332397622904e-01,5.804799408313801035e-01,3.611711513455990996e+01
2.250000000000000056e-01,5.999999999999999778e-01,3.000000000000000000e+01
1.426629588795129584e-02,1.593749999999999889e-01,7.566311868620678638e+01
1.893617936498532273e-01,4.736182001478420056e-01,6.026362500562170510e+01
9.865796523061542977e-02,4.727341143361682985e-01,5.044618770874868119e+01
1.134941043286940843e-01,4.665540409315933612e-01,5.337032539575117340e+01
1.146738330348347351e-01,4.448486657518506138e-01,5.723406232182486519e+01
1.400043320378152878e-01,4.409049277192477745e-01,6.060746535560947734e+01
1.794528592414529333e-01,4.217187713904353430e-01,7.526898042407739808e+01
1.733181388027944525e-01,4.051179682123497439e-01,8.188712242202470293e+01
2.374999999999999889e-01,5.715435956649828064e-01,3.957106175608215182e+01
2.199515244652047730e-01,5.679114689047759512e-01,3.998033926188637110e+01
2.258921031851714445e-01,5.834182429210248433e-01,3.649554720850343870e+01
2.174521247250195966e-01,4.623499396385187810e-01,7.005827364634029664e+01
1.742415912017838964e-01,4.695999830853526680e-01,5.856537499297694183e+01
1.883647396453053402e-01,4.469129139110053495e-01,7.128465470781264912e+01
1.646143764334788984e-01,4.279476418758983991e-01,7.157216615858818898e+01
1.987932851354239638e-01,4.240210051927634782e-01,8.213418585742024902e+01
2.500000000000000000e-01,4.000000000000000222e-01,1.000000000000000000e+02
2.022908699814008060e-01,4.597642313534232583e-01,7.066203400270363488e+01
4.000000000000000222e-01,4.000000000000000222e-01,1.000000000000000000e+02
2.055122483482880180e-01,4.423023587418021263e-01,7.568013937057881435e+01
2.250000000000000056e-01,4.000000000000000222e-01,1.000000000000000000e+02
1.455812549680869927e-01,4.069741872100192115e-01,6.903288160441103116e+01
2.379002266945108579e-01,4.214581926417017010e-01,9.300690134334152503e+01
3.133726022399792310e-02,1.593749999999999889e-01,7.585616438899623404e+01
2.280177805597460861e-02,1.755342621389964775e-01,7.524745415879552013e+01
0.000000000000000000e+00,7.499999999999999722e-02,7.788796280854462850e+01
0.000000000000000000e+00,5.812500000000000444e-01,3.048698738036454259e+01
1.284916737997840973e-02,5.718750000000000222e-01,3.055272614364640305e+01
3.750000000000000555e-02,5.921683120633929320e-01,3.057663971358780586e+01
2.770090549837329608e-01,5.676320873333644546e-01,4.731756181407871509e+01
2.321923800899158841e-01,5.535967305008138162e-01,4.511505932828809762e+01
1.721584870572876180e-01,4.525637056832128025e-01,6.438012009744090847e+01
2.266640022094938978e-01,4.965878928116548852e-01,5.966513175591089180e+01
2.885859356525796171e-01,5.090548725815848830e-01,6.132873283192685676e+01
2.287496096921295685e-01,4.443301132862023661e-01,7.632066944036844802e+01
2.124999999999999944e-01,4.116752602936363248e-01,9.306608640649869812e+01
2.374999999999999889e-01,4.070920281576715927e-01,9.729522859423791203e+01
2.750000000000000222e-01,4.282374017001779332e-01,9.146287444797128785e+01
2.576213702310731768e-01,4.184379985502878485e-01,9.842625563129527677e+01
2.750000000000000222e-01,4.000000000000000222e-01,1.000000000000000000e+02
2.545978292144229771e-01,4.441097189031853465e-01,7.459524424622156857e+01
2.875000000000000333e-01,4.141187008500890054e-01,9.391867158767171020e+01
3.500000000000000333e-01,4.000000000000000222e-01,1.000000000000000000e+02
3.028805863243951291e-01,4.403287034439012371e-01,8.316362518185974295e+01
2.416053975866934156e-01,4.362070140350701175e-01,8.047234189913572777e+01
2.891053419775345135e-01,4.674168801052068223e-01,7.243355201477967853e+01
2.418043987656134375e-01,4.595462030266623255e-01,6.770556519410155261e+01
2.650679509548184987e-01,4.658068374937054945e-01,7.070909213379566438e+01
2.909133496208574088e-01,4.297335034759608985e-01,8.868424270931437547e+01
2.811548757846270008e-01,4.481503638983962423e-01,7.999529728455260624e+01
2.686400152510997064e-01,4.411108854785215638e-01,8.128868185490954090e+01
2.756492795259693485e-01,4.880712605184370223e-01,6.303833189692809924e+01
2.765933957942626198e-01,4.739759243144399670e-01,6.913116008239602195e+01
